Districts,Data,Year,Value
Black River,Mortality,1879,486
Flacq,Mortality,1879,1717
Grand Port,Mortality,1879,1721
Moka,Mortality,1879,758
Pamplemousses,Mortality,1879,1106
Plaines Wilhems,Mortality,1879,1267
Port Louis,Mortality,1879,2848
Rivière du Rempart,Mortality,1879,485
Savanne,Mortality,1879,1070
